ds,yhat,yhat_lower,yhat_upper
2026-11-01,13604711.128038181,13347998.395473344,13869120.312827753
2026-12-01,14225892.57451609,14001362.21805377,14468241.960052337
2027-01-01,13133418.425735198,12864930.550407104,13384559.579985281
2027-02-01,12859296.63587455,12607273.679543512,13107676.57606535
2027-03-01,14322848.787073975,14070641.067093316,14590085.082923051
2027-04-01,12936137.269499388,12684373.44557603,13208529.559841415
2027-05-01,14236797.998934831,13991810.535190666,14522931.1414537
2027-06-01,13780304.960222384,13521113.876722451,14050695.27792003
2027-07-01,14201994.875345238,13947432.375322327,14473045.139777003
2027-08-01,14956411.836096544,14711394.446793942,15214584.699661838
2027-09-01,14457145.567205956,14181150.866893273,14716731.769796979
2027-10-01,14417060.672090806,14152687.66102006,14674134.183515336
2027-11-01,13987194.401128622,13731763.590772958,14257980.457789596
2027-12-01,14698406.513182502,14421021.746082367,14966296.10723917
2028-01-01,13343140.371323703,13069295.375406051,13612486.958034493
2028-02-01,13170566.237744417,12902457.47117912,13441040.563154256
2028-03-01,14025732.088029332,13753273.349573689,14303238.126012502
2028-04-01,14204759.40358435,13916203.148525732,14471233.412865791
2028-05-01,14129142.64452426,13852435.242267301,14422072.114263462
2028-06-01,13924604.85495173,13634669.679960383,14224235.150001744
2028-07-01,15101055.238527136,14797276.547563799,15387319.556813294
2028-08-01,14799539.74324402,14504499.022515507,15079601.572902592
2028-09-01,14562350.622054558,14278522.70533753,14860396.823109943
2028-10-01,15393039.799338149,15111518.971963678,15698347.015030418
2028-11-01,14191146.389068116,13878319.934561094,14484040.281466823
2028-12-01,14614048.93950624,14304114.642685449,14939992.286465878
2029-01-01,14048269.986469535,13769494.021555362,14388300.805720923
2029-02-01,13585358.26054401,13262140.409474814,13915722.211436305
2029-03-01,14574808.106639246,14286666.179038687,14888114.765002212
2029-04-01,14228942.188745344,13906411.48396305,14552266.153262518
2029-05-01,14607644.351680387,14287176.920386586,14955492.009555968
2029-06-01,14325199.686430225,13991661.957094047,14657131.306178782
2029-07-01,15246388.773213243,14896976.474601576,15596991.474849628
2029-08-01,15295722.74981933,14959428.024196435,15646962.591754934
2029-09-01,14977574.310781593,14635055.078067206,15329948.47701428
2029-10-01,15514431.830166742,15196231.844230607,15877459.072067406
2029-11-01,14565087.817381322,14229363.118978292,14912643.51141355
2029-12-01,15090128.449660458,14698951.300665352,15464792.463347096
2030-01-01,14260898.945227101,13910235.749273725,14616476.469941145
2030-02-01,13889963.567455618,13518252.036915317,14297004.780544803
2030-03-01,15120101.508188836,14765715.667052051,15491347.056422096
2030-04-01,14252178.947837025,13884244.63811287,14633153.573356032
2030-05-01,15089765.840091156,14712262.131154804,15502298.37738304
2030-06-01,14723321.92731983,14331419.07318579,15134897.713894222
2030-07-01,15392853.945711127,15009380.257302318,15806654.054791512
2030-08-01,15794266.017430345,15366372.663746517,16210280.692161636
2030-09-01,15388731.635348046,14996337.774795849,15814278.429968767
2030-10-01,15635232.401156928,15218074.697904207,16089926.806298742
2030-11-01,14943311.505481992,14529951.38912022,15371897.08795983
2030-12-01,15564492.951959658,15150301.180544214,15995911.243469492
