mes,ano,volume_m3,mes_num,data
Maio,2020,9497886.406028984,5,2020-05-01
Junho,2020,10181308.382869571,6,2020-06-01
Julho,2020,11276899.435536232,7,2020-07-01
Agosto,2020,11208315.04217391,8,2020-08-01
Setembro,2020,11554479.93756522,9,2020-09-01
Outubro,2020,12451503.818884064,10,2020-10-01
Novembro,2020,11510097.77517391,11,2020-11-01
Dezembro,2020,12139620.73899999,12,2020-12-01
Janeiro,2021,11165007.252521733,1,2021-01-01
Fevereiro,2021,10364822.302811591,2,2021-02-01
Março,2021,11514773.310159417,3,2021-03-01
Abril,2021,10847510.842739135,4,2021-04-01
Maio,2021,11186428.197449267,5,2021-05-01
Junho,2021,11434566.942275364,6,2021-06-01
Julho,2021,12474834.446594208,7,2021-07-01
Agosto,2021,12412823.482521746,8,2021-08-01
Setembro,2021,12076925.443927536,9,2021-09-01
Outubro,2021,12382201.099347828,10,2021-10-01
Novembro,2021,11459182.02773913,11,2021-11-01
Dezembro,2021,12099261.331927534,12,2021-12-01
Janeiro,2022,10598039.725739121,1,2022-01-01
Fevereiro,2022,10995574.007202895,2,2022-02-01
Março,2022,12066965.262289854,3,2022-03-01
Abril,2022,11285116.091304345,4,2022-04-01
Maio,2022,11888612.15273913,5,2022-05-01
Junho,2022,11423437.97375363,6,2022-06-01
Julho,2022,12223528.920333333,7,2022-07-01
Agosto,2022,12793831.255942022,8,2022-08-01
Setembro,2022,12442337.289144926,9,2022-09-01
Outubro,2022,12589638.440724626,10,2022-10-01
Novembro,2022,12003658.382782616,11,2022-11-01
Dezembro,2022,12661098.750101449,12,2022-12-01
Janeiro,2023,11170623.2787971,1,2023-01-01
Fevereiro,2023,11324712.434159422,2,2023-02-01
Março,2023,12900962.172144927,3,2023-03-01
Abril,2023,11448372.756318843,4,2023-04-01
Maio,2023,12884513.09615942,5,2023-05-01
Junho,2023,12365953.142231878,6,2023-06-01
Julho,2023,12585770.94191304,7,2023-07-01
Agosto,2023,13467864.943768118,8,2023-08-01
Setembro,2023,12771227.291014498,9,2023-09-01
Outubro,2023,12933935.123739133,10,2023-10-01
Novembro,2023,12640513.626173915,11,2023-11-01
Dezembro,2023,13203983.090579702,12,2023-12-01
Janeiro,2024,12466529.885492753,1,2024-01-01
Fevereiro,2024,11800924.729449276,2,2024-02-01
Março,2024,12722084.17768116,3,2024-03-01
Abril,2024,12958459.48794203,4,2024-04-01
Maio,2024,13012271.523695648,5,2024-05-01
Junho,2024,12671840.91907247,6,2024-06-01
Julho,2024,13603328.525608696,7,2024-07-01
Agosto,2024,13694605.525,8,2024-08-01
Setembro,2024,13038999.465956518,9,2024-09-01
Outubro,2024,14031384.904942028,10,2024-10-01
Novembro,2024,13040833.384710139,11,2024-11-01
Dezembro,2024,13026878.49488406,12,2024-12-01
Janeiro,2025,12918096.96617391,1,2025-01-01
Fevereiro,2025,12131876.033913054,2,2025-02-01
Março,2025,12981519.474579707,3,2025-03-01
Abril,2025,12923458.813376807,4,2025-04-01
Maio,2025,13343959.5531884,5,2025-05-01
Junho,2025,12862215.397434782,6,2025-06-01
Julho,2025,14012012.296028985,7,2025-07-01
Agosto,2025,13517594.895942029,8,2025-08-01
Setembro,2025,13817122.31276812,9,2025-09-01
Outubro,2025,14356532.339521738,10,2025-10-01
Novembro,2025,12966668.933797106,11,2025-11-01
Dezembro,2025,13961276.231057972,12,2025-12-01
Janeiro,2026,12616647.892956527,1,2026-01-01
